name,year,sat,feature,area,areadirec,artscale,component,iso3c,id,layername,names,opacity,pathclose,perimeter,regions,rules,strokewei,style,vertexcou,style,uid,ee_nightlights_sum,ee_source,ee_reductionscale
Albania,2008,16,162008,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,105588.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2009,16,162009,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,87792.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2010,18,182010,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,130784.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2011,18,182011,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,123063.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2012,18,182012,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,128070.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2013,18,182013,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,139382.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1992,10,101992,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1334475.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1993,10,101993,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1257327.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1994,10,101994,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1253874.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1994,12,121994,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1138720.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1995,12,121995,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1446869.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1996,12,121996,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1420445.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1997,12,121997,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1491417.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1997,14,141997,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1077197.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1998,12,121998,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1576529.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1998,14,141998,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1130663.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1999,12,121999,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1412086.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,1999,14,141999,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1124803.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,2000,14,142000,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1210952.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,2000,15,152000,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1595478.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,2001,14,142001,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1193191.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,2001,15,152001,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1465602.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,2002,14,142002,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1101282.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,2002,15,152002,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1565164.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,2003,14,142003,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1187226.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Algeria,2003,15,152003,2.0756781653e+12,1,1,1,DZA,-214748364,WB-Country Polys,Algeria,100,1,6940116.49034,MENA,None,1,,1255,{},j75,1152613.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
